review_id;user_id;business_id;stars;useful;funny;cool;date;text
m1GlqFGIN5eayrbb2IbRZg;B7YSV6r1ePAXc69FkDDuZw;N3_Gs3DnX4k9SgpwJxdEfw;1.0;0;0;0;2014-06-27 22:06:55;I wish I could give them zero stars. The call takers are rude. The technicians are incompetent. The manager doesn't know what customer service is. It is overpriced. I was quoted $230. I went to another locksmith, who actually got my lock off, and was quoted a total of $79.The technician was late twice. He could not pick the lock which is not unusual and said he would have to drill through the lock. Ok. But, failed to bring charged batteries. He never offered to come back with charged batteries as soon as he could nor offered to send someone else. He said he could, however, come back around 10 hours later and do it "under-the-table." Usually when you need to get a lock off, you need it off that minute. I said no. He charged me $30 for a service fee...a service that I never received. I contacted the manager, which seems to be a task in itself, and he said that I was rightfully charged $30 because I "refused" the technician's offer to come back later. I doubt the manager knew it was an under-the-table payment. I still have not been reimbursed my $30!
j_eh6Iw7qseluR-7KfZOMg;xpxWG7jQXZE6BcSeuIq4PQ;tXvdYGvlEceDljN8gt2_3Q;5.0;0;0;0;2016-08-12 21:59:03;This is a five-star restaurant if ever I have seen one! Maurice, one of the owners, met us at the front door, Daniel a seasoned waiter from Hawaii, took care of us and the food was over-the-top delicious. This is not just a restaurant, it is an experience!  My son recommended this to us and we are glad that we took his advice. I had the rack of lamb and my wife had the grouper with crab. Save room for dessert! We live in Tallahassee but the next time we are in Orlando it's back to Chatham's!
egHMQBhFeaLhVyC6w3r0vQ;HvpNr0ohHCaVLp014CQrdw;rYs_1pNB_RMtn5WQh55QDA;4.0;0;0;0;2015-10-04 05:37:01;Quickly stopped in for a UFC fight. I sat down at the bar while my boyfriend parked the car. Although the restaurant/bar was packed and LOUD, the bartender  (Vanessa) came over within a minute. Prompt service with a smile. When my boyfriend arrived a few minutes later, we didn't see Vanessa behind the bar so we tried to flag down her male coworker. He was caught up watching the fight and it took a few minutes to get his attention - which is fine. Not fine, however, is that after I ordered a beer, he stood and texted for a few minutes before getting my beer and held his arm up to shield his texting from management lol. Vanessa, however, is an excellent bartender!! As loud as it is in this place, she continually scanned the bar looking for people attempting to make eye contact with her for service. I watched her work (my boyfriend and I have thirty years of food and beverage experience between the two of us) and she was focused and productive, but most importantly, she was ATTENTIVE! Give this girl a raise!!
LBJJWJ0uNlIybMfPnQGS0A;bUHweiErUJ36WGeNrPmEbA;hCABMnKtwo4Y9alQDxh2kw;5.0;5;3;3;2014-02-05 21:09:05;I loved everything about this place. I've only been once but I keep meaning to go back as it was so great (just a bit out of my way). I went with a fairly large group so we'd all ordered something different (back when it was $6 for everything, it looks like they've changed that now). At the time I got the chickpea fries, which were delicious but watch out for the fiber because I had to sit out of an entire board game. The board game selection was great, and I love that they serve mead (though I didn't get any at 12 pm haha).  The molten lava chocolate cake was so, so good. Seriously.The real topping to the experience (other than the great service and the fact that they put lemons in their complimentary ice water) was that they were playing Siouxsie and the Banshees in the background! That + board games + good food + mead = I'm a fan forever.
ucFOnqgaV40oQ2YNyz5ddQ;JHXQEayrDHOWGexs0dCviA;HPA_qyMEddpAEtFof02ixg;1.0;0;0;0;2018-03-03 23:45:25;Great coffee and pastries. Baristas are excellent. All the other staff are sooooo lost and vacant.
btNWW2kdJYfwpTDyzJO3Iw;DECuRZwkUw8ELQZfNGef2Q;ufCxltuh56FF4-ZFZ6cVhg;4.0;0;0;0;2012-12-04 04:29:47;Nothing special but good enough.  I like another one much better in Dorchester, but hardly get to that area, so Le's is my goto place for Pho
3c4LFWiVUHPDQzAd8uxc3A;jySmPCkEkJR3cWJlkEs9cw;i_t_30RYVUDdZzFIcw80NQ;5.0;5;2;4;2013-08-15 14:47:40;Definitely 5 stars for the donuts.  Our family has been coming to Dandy Donuts for years!  Their donuts can't be beat and are a must-try.   The same Cambodian family has owned this shop for years. They are kind, hard-working folks that put out a consistently fresh and delicious line of donuts as well as croissants and apple fritters their customers love.   Subs are also good.   I notice they've added a new low-price lunch special of hot dog, chips and drink.  The surroundings are definitely "hole-in-the-wall", but go and try the donuts.
GDgXjXSZCA1iNQWD7OHXfg;1RCRKuHgP3FskGUVnmFdxg;g7CEhqBIpwTg6ERcMkCmrQ;4.0;0;0;0;2017-05-26 03:05:46;I think their rice dishes are way better than their Pho's. Also I really like their sandwiches and spring rolls. I took a friend who haven't had viennese food ever. He absolutely love it.
XjL87cCH-F7gVquxWKH7Sw;ltn9yaWIarK_o4DeMT1duA;GfWJ19Js7wX9rwaHQ7KbGw;4.0;0;0;0;2016-09-18 18:16:53;Best station to fill up around in my opinion. Attendants are super friendly. They also carry bio diesel! Been running this in my Dodge for couple years w/o any issues. With Safeway right on same corner, the rewards really make this a favorite gas stop. Thanks!
1OsubwE6zKNU1fkBGxOFrQ;vFnYYmtVwcMGyyGesNImVQ;MUeUyqhMja-nnmvgP4rBBg;5.0;0;0;0;2016-01-30 02:39:22;Ordered the original tonkotsu base ramen and a char siu don for my 2 year old.  Loved the soup base but especially loved the size of the bowl...unlike most ramen place, the size of the bowl reflected the quantity of the content in it.  Totally looking forward to going back so I can customize my next bowl of ramen...will select thicker noodle for sure and perhaps add more ramen!Fabulous service and loved that they had a sign advising ppl to come in, write down name then wait outside, so not to clog the entrance/exit.Great ramen place, but won't go with a group larger than 4 ppl.  Heads up, there was only one high chair.
OMGz2BaL3bzRvY2hEp1-wQ;d01SZKYmReEar7varZB0HQ;6fT0lYr_UgWSCZs_w1PBTQ;4.0;5;1;1;2010-05-14 14:33:54;I just had my lasik done last week and I am really happy with my results. The staff were all extremely nice, remembered me like I was an old friend, and generally made me feel very comfortable. It's also great that they have Saturday appointments. The evaluation, as with most lasik places, was complementary and all followup exams and treatments are included.  These exams are generally about 10 minutes.The pre-surgery paperwork and going over post-op details, etc took about 30 minutes and the surgery itself (both eyes) took 25 minutes. Numbing drops are applied, so there is no pain, but while the flap is being created, there is an intense feeling of pressure from the suction that holds your eye still. I hated that. Afterward, the only pain I experienced was similar to getting soap in my eye, a kind of stinging. I went home and slept all night and woke up the next morning for my first followup and I could see! And had no more burning! I had some broken blood vessels from the suction used to hold my eye in place, but no pain all week, just dry eyes. The week following, you must avoid swimming, exercise, eye makeup, and have to sleep with goggles (so you don't rub your eyes) and apply drops almost constantly. I believe I've made a great investment. I still can't believe I'm going to see this well FOREVER! :-) My only complaint was that they didn't administer a sedative or anything to help me relax during the surgery (and maybe a pain Rx for after?) I didn't feel nervous before it started, but a little panic hit me when my eye was being held open and I was asked to keep my eye very still.Oh, and they charge $2100 per eye for the all-laser lasik.
-QpNdU_p44GR0NcRxDRyNQ;ffJp-ZN80M4sSkDL8Ra18w;dmbbf3AqeG61_QHRZi1M1w;1.0;0;0;0;2009-03-01 01:05:50;Almost desolate restaurant and dingy evironment. That's a star.Decieving lunch menu. (claimed dishes were 550 before 3 on Saturdays and was still charged $2 more) That's a star.Congealed beef soup. That's a star.Friend's dish didn't come for 30 minutes after I got mine and he didn't get the soup that came with it. That's a star.Asked for water 5 times and didn't get of until right before the bill came. That's a star. Welp, I seem to be out of stars! Whoopsie Daisy! I wanted to be more forgiving since the waitress was new but even the manager who stepped in for her was screwing up. And it doesn't excuse the mediocre food.
